string.ID,string[].Name,string.Des,int.HP,int.Exp,string.Equment,int.Num
0,AAA1;BBB1;CCC1,描述1,10,100,Sword1,1
1,AAA2;BBB2;CCC2,描述2,20,200,Sword2,2
2,AAA3;BBB3;CCC3,描述3,30,300,Sword3,3
3,AAA1;BBB1;CCC2,描述4,40,400,Sword4,4
4,AAA2,描述5,50,500,Sword5,5
5,AAA3;BBB3;CCC4,描述6,60,600,Sword6,6
6,AAA1;BBB1;CCC3,描述7,70,700,Sword7,7
7,AAA2,描述8,80,800,Sword8,8
8,AAA3,描述9,90,900,Sword9,9
9,AAA1;BBB1;CCC4,描述10,100,1000,Sword10,10
10,AAA2;BBB2;CCC5,描述11,110,1100,Sword11,11
11,AAA3;BBB3;CCC6,描述12,120,1200,Sword12,12
12,AAA1;BBB1;CCC5,描述13,130,1300,Sword13,13
13,AAA2;BBB2;CCC6,描述14,140,1400,Sword14,14
